objID,,,deVAB_i,expAB_i,lnLexp_i,lnLdeV_i,lnLstar_i,petroR90_i,petroR50_i,mRrCc_i,mCr4_i,texture_i
587722982300778583,0.759026,0.333471,0.674695,0.737561,-41.674095,-231.917679,-2742.98682,5.07991,2.408071,40.011139,2.330808,0.547356
587722982300778885,0.864389,0.373185,0.806299,0.823419,-3113.2085,-259.747864,-1.492446E4,5.941757,1.998963,9.128458,2.339533,15.417713
587722982300778908,0.918652,0.368938,0.670716,0.670779,-510.147034,-93.195641,-4242.10986,5.80047,1.867264,11.394118,2.343587,0.77125
587722982300778927,0.841032,0.426226,0.811626,0.848397,-170.350739,-87.706291,-5313.04346,3.131088,1.222943,8.874313,2.21619,13.606012
587722982300779027,0.973824,0.402781,0.757699,0.763082,-715.938232,-211.676498,-3078.06958,5.194071,2.612389,16.878321,2.53133,2.021822
587722982300844287,0.909428,0.371682,0.961561,0.999724,-2946.71582,-360.253326,-1.440242E4,6.015692,2.125439,9.407575,2.347288,18.402363
587722982300909965,0.471958,0.273718,0.948527,0.883821,-210.604507,-629.687805,-5826.99414,11.789207,6.786461,392.068909,2.20031,1.515189
587722982300975371,0.772736,0.421595,0.726732,0.746949,-59.690773,-385.30188,-5178.54102,3.668232,1.633823,18.511379,2.222896,1.343857
587722982301040948,0.866644,0.414307,0.45024,0.494068,-1493.86377,-272.073303,-1.019379E4,5.418273,1.952962,11.264351,2.3858,28.674278
587722982301106484,0.815218,0.368593,0.670745,0.668443,-1341.82788,-205.765945,-1.043857E4,5.177695,2.020651,12.471014,2.429153,9.914243
587722982301106497,0.59128,0.319429,0.254803,0.315148,-51.257225,-410.21991,-5597.7334,6.53115,3.035617,102.221642,2.23981,0.979462
587722982301106529,1.367437,0.456667,0.899062,0.911237,-304.594788,-24.067837,-2320.76929,4.856058,1.58409,9.024443,2.302587,0.583694
587722982301106568,0.90526,0.398733,0.587223,0.64599,-430.454773,-30.272894,-3538.49878,3.75573,1.398624,8.868676,2.29071,2.15135
587722982301237565,0.856186,0.396032,0.533628,0.563907,-1655.42236,-318.410339,-1.037894E4,7.980912,2.607735,16.924854,2.34707,6.375453
