objID,,,deVAB_i,expAB_i,lnLexp_i,lnLdeV_i,lnLstar_i,petroR90_i,petroR50_i,mRrCc_i,mCr4_i,texture_i
587722982298812764,0.383194,0.251225,0.233419,0.242605,-33.388477,-276.039581,-5046.49316,4.605546,1.841727,27.782171,2.251291,2.913202
587722982298878238,0.558104,0.333395,0.847715,0.880547,-11.811499,-296.408905,-4249.22949,4.140922,1.805814,20.808207,2.250202,1.056307
587722982298878275,0.603683,0.2708,0.795782,0.828884,-90.25988,-398.383362,-3716.27515,5.124453,2.83754,67.790329,2.294571,1.900667
587722982298943724,0.770565,0.385664,0.692213,0.671779,-336.846649,-69.000648,-2756.16748,3.138545,1.184989,6.247106,2.25859,2.365223
587722982298943803,0.700239,0.3482,0.832812,0.838679,-578.43158,-2283.55322,-2.489729E4,6.652987,3.347193,74.695587,2.382781,49.57486
587722982298943849,1.014576,0.437666,0.657566,0.682103,-868.779663,-60.181927,-8125.55371,6.212354,1.984647,11.227525,2.372914,2.357839
587722982298943887,1.079977,0.421167,0.558249,0.591532,-723.994446,-118.653908,-5411.07471,5.101504,1.611381,8.419034,2.330085,0.767911
587722982299074952,0.478653,0.327358,0.970573,0.969206,-838.0177,-1040.96667,-2.472695E4,7.667887,2.923478,34.90554,2.414609,73.281334
587722982299140403,0.784529,0.396778,0.361121,0.413145,-51.218597,-190.630188,-5084.59521,3.8471,1.473751,13.859925,2.256816,5.07216
587722982835683483,0.558207,0.311735,0.187234,0.213769,-45.429993,-155.073593,-4167.08496,9.443188,3.341766,79.999245,2.277272,1.270018
587722982835683620,1.043968,0.407866,0.943847,0.923286,-780.891785,-12.856206,-5407.74463,4.056421,1.400044,6.591941,2.327393,2.140751
587722982835749016,0.603539,0.307261,0.815039,0.822843,-1923.78772,-5295.78711,-6.466979E4,8.826115,3.05615,46.776089,2.234995,88.960037
587722982835749068,0.400169,0.483335,0.688349,0.720348,-1334.62903,-471.089233,-3186.27295,2.402994,0.758352,2.862828,2.179536,102.114822
587722982835749134,0.884066,0.369993,0.304633,0.345739,-218.620026,-86.960968,-4045.78223,3.319313,1.213553,8.310213,2.293656,4.422353
587722982835749172,0.65979,0.343657,0.63681,0.657272,-73.186478,-1271.49731,-1.013456E4,5.920236,2.885325,66.235664,2.25059,5.596465
587722982835749186,0.349405,0.261465,0.926256,0.916653,-261.040741,-496.504211,-5198.82422,5.386645,2.220268,23.820574,2.304862,21.817429
587722982835749190,0.718307,0.354214,0.675916,0.704055,-626.130066,-529.04718,-8583.90234,7.725527,3.329547,51.166283,2.43861,6.58367
587722982835749199,0.724464,0.368584,0.546878,0.628491,-1520.00256,-364.258942,-4943.39746,5.302949,1.922699,5.257806,2.360466,19.055685
587722982835749246,0.577492,0.296127,0.673142,0.710629,-71.756371,-720.672729,-6911.82422,5.108151,2.696176,56.810677,2.240068,2.764907
587722982835749310,0.871561,0.389711,0.368129,0.403624,-579.902283,-22.228498,-5096.67773,3.319762,1.103034,5.593868,2.256524,2.954307
587722982835814668,1.083481,0.503356,0.271183,0.298854,-1987.73437,-378.361786,-1.644365E4,8.430113,2.673451,19.982262,2.508532,27.350321
587722982835880032,0.942226,0.407148,0.705187,0.680012,-3182.11304,-251.24649,-1.345119E4,8.730016,2.424989,7.064199,2.367941,23.804722
587722982835880212,0.914539,0.396292,0.561081,0.584284,-1140.55994,-162.641327,-4738.89014,4.513301,1.654653,5.622025,2.316988,7.568084
587722982835880298,1.033329,0.410898,0.874789,0.828873,-2821.61011,-366.980072,-1.050775E4,7.579313,2.615202,6.95315,2.347809,19.184219
587722982835880340,0.998707,0.412577,0.48299,0.506043,-1495.07166,-322.917877,-6066.73486,4.894041,1.857575,6.252933,2.403704,13.8161
587722982835945544,0.941278,0.484926,0.729896,0.722354,-2800.95117,-472.62384,-8078.94385,6.92682,1.98232,4.734558,2.249219,40.293819
587722982835945853,1.026205,0.392834,0.689134,0.703156,-1997.79163,-106.147774,-9423.37891,6.068618,1.87245,6.255113,2.350352,14.808581
587722982835945911,0.946947,0.411812,0.79998,0.787584,-532.028442,-318.266327,-5212.78223,5.251738,2.148947,14.952039,2.43319,9.070417
587722982836011284,0.983706,0.530281,0.30065,0.317381,-222.335373,-590.84845,-1.285118E4,5.67218,2.173494,30.416155,2.335379,21.980068
587722982836011292,0.744005,0.365053,0.882454,0.879195,-192.838058,-321.264923,-5756.63623,4.666504,2.225489,26.224361,2.443427,11.010026
587722982836011406,1.069508,0.50774,0.884396,0.891936,-568.938171,-13.092454,-4429.52246,4.188006,1.371693,6.342381,2.304689,3.679529
587722982836076841,0.706345,0.331543,0.590575,0.613314,-62.8255,-776.022827,-6084.42383,5.702204,2.861071,71.585678,2.1448,1.846066
587722983372554582,0.148003,0.119631,0.155452,0.197521,-50.247711,-157.124756,-1890.58313,5.486488,2.527781,100.614189,2.235584,0.698564
587722983372620144,0.736183,0.381617,0.576819,0.575534,-846.001404,-371.895569,-4707.9248,5.468889,2.586863,21.973957,2.638703,8.710548
587722983372620199,1.03742,0.434067,0.92,0.919979,-673.364136,-8.272162,-5379.47754,4.382099,1.458391,6.702167,2.332584,1.21999
587722983372620226,1.053347,0.44418,0.351908,0.408899,-380.312592,-128.807693,-7501.37061,4.663805,1.648457,13.580527,2.346149,5.927425
587722983372620231,0.391537,0.328093,0.799672,0.830958,-25.261698,-351.053528,-4746.3335,2.587337,1.062984,7.911208,2.137227,2.546167
587722983372685534,1.099749,0.553413,0.482001,0.48587,-549.942078,-11.417528,-3705.05762,5.259478,1.672905,7.365836,2.352473,2.339541
587722983372685560,1.062044,0.413012,0.923201,0.901074,-1184.51904,-59.890919,-5299.25977,3.956076,1.290357,4.732179,2.304946,9.124012
587722983372750966,0.623652,0.345362,0.591391,0.588441,-29.224173,-524.18103,-4512.32666,5.685538,2.733608,59.504665,2.229424,4.478395
587722983372751055,0.958121,0.418607,0.910624,0.865343,-5114.05273,-538.446777,-2.676319E4,9.122206,2.66607,10.711769,2.397084,16.107599
587722983372751056,0.999002,0.416739,0.719203,0.812969,-3096.72778,-219.236572,-1.72353E4,6.368245,1.953045,8.43961,2.366953,9.036501
587722983372816447,0.372915,0.285109,0.635222,0.629367,-861.10437,-147.97998,-3169.07544,2.971156,1.063036,3.743977,2.307043,17.653307
587722983372816448,1.004602,0.427332,0.869186,0.877521,-679.931885,-30.921724,-3604.68408,6.772606,2.01299,6.453485,2.337639,1.928623
587722983372816761,0.844692,0.434746,0.383345,0.409987,-265.25,-1015.14648,-1.042653E4,5.670431,2.525386,53.712578,2.255915,11.962671
587722983372882091,0.908438,0.431704,0.673016,0.628218,-1877.32678,-462.602631,-8558.27441,7.47322,3.103961,9.062119,2.540901,18.639015
587722983372882141,0.788701,0.544517,0.839609,0.803513,-1.186909E4,-6982.53125,-6.598877E4,13.270294,6.817272,22.040741,2.604003,424.230225
587722983372882240,0.689997,0.388439,0.874298,0.84575,-177.749771,-845.977539,-1.090271E4,6.103347,2.763625,48.269615,2.293127,10.539232
587722983372882326,0.502485,0.307083,0.429717,0.453521,-136.627625,-219.766953,-5272.39014,8.255222,3.576854,61.324207,2.38498,3.045599
587722983372882350,0.82206,0.420099,0.46706,0.470095,-1413.71973,-297.862549,-5048.94092,7.704004,2.770437,6.494377,2.411524,12.449051
