objID,,,deVAB_i,expAB_i,lnLexp_i,lnLdeV_i,lnLstar_i,petroR90_i,petroR50_i,mRrCc_i,mCr4_i,texture_i
587725816426332369,0.646517,0.373381,0.523858,0.53724,-961.56134,-51.653511,-7854.41064,5.465674,1.921398,14.809737,2.302665,0.949331
587725816426397800,0.716343,0.420029,0.798221,0.834308,-836.253418,-65.888939,-3788.08838,4.695827,1.709684,10.042159,2.314237,6.234489
587725816426397882,0.55501,0.388313,0.283871,0.320697,-54.020088,-205.369354,-5504.33447,6.763085,2.613516,45.510311,2.237563,0.907092
587725816426397888,0.717724,0.375101,0.660876,0.637785,-1749.50574,-3027.02271,-3.467097E4,10.033269,4.404088,116.742683,2.359569,138.222336
587725816426463288,0.536211,0.327723,0.281866,0.326844,-21.429398,-674.977661,-7491.6377,6.707304,2.691888,65.115318,2.128762,1.128392
587725816426463321,0.850299,0.427137,0.605104,0.60786,-1.082509E4,-769.382507,-4.886176E4,9.074708,2.932623,15.442383,2.372257,229.726547
587725816426463495,0.513821,0.284431,0.204259,0.255127,-13.87368,-116.856758,-2412.87305,6.906516,2.803302,80.279129,2.280109,0.323055
587725816426528989,1.042976,0.515167,0.833951,0.862706,-823.463318,-90.027481,-3263.30029,6.813869,2.312533,10.654553,2.352038,3.175392
587725816426594544,0.754895,0.369234,0.642431,0.664513,-4636.771,-1201.41064,-5.134345E4,11.69505,4.073729,46.313232,2.459928,42.421543
587725816426594554,0.582729,0.344177,0.799857,0.814925,-0.253832,-307.581116,-3383.53467,3.531292,1.760334,24.938303,2.158569,0.204796
587725816426594561,1.430025,0.50391,0.932092,0.91393,-1295.92554,-142.326202,-5049.82373,10.102577,3.299878,13.099442,2.374369,3.696114
587725816426660046,0.979065,0.447531,0.639194,0.662139,-3657.75732,-90.159912,-2.207019E4,8.779153,2.855731,19.433296,2.37577,7.577555
587725816426725556,1.027323,0.451977,0.409096,0.475731,-294.973389,-39.229309,-2404.58911,4.551651,1.659489,13.265829,2.293317,0.671038
587725816426791068,1.165163,0.474476,0.317113,0.354437,-130.166153,-31.624348,-3051.27637,3.848353,1.472367,13.302601,2.232621,1.098027
587725816426791078,0.807322,0.402018,0.473319,0.517987,-41.237057,-215.109863,-4150.93994,5.340899,2.342199,37.462799,2.292881,1.457031
587725816426791112,0.946241,0.472298,0.592187,0.630654,-259.705994,-271.425415,-4100.1792,5.650857,2.285836,27.47518,2.270981,3.156307
587725816426791168,1.243408,0.547787,0.703081,0.71545,-253.902206,-26.271982,-2485.86841,6.258582,2.303822,18.266958,2.363889,0.218688
587725816426856705,0.226373,0.134634,0.39988,0.462844,-529.529541,-674.443176,-2.195524E4,13.856189,6.172578,263.424042,2.398395,16.943584
587725816426856825,0.806044,0.450324,0.534143,0.529316,-1275.19727,-151.340851,-1.25373E4,6.288512,2.170383,21.07386,2.260874,18.770521
587725816426856846,0.453382,0.274973,0.789197,0.807317,-6.915299,-268.686981,-3345.32837,3.979467,1.762809,24.138248,2.096817,0.440397
587725816426856880,0.389273,0.242643,0.971586,0.958462,-74.997444,-337.759521,-6144.625,6.652025,3.182018,59.902256,2.350919,3.07262
587725816426856910,0.753138,0.393456,0.999717,0.996386,-81.93824,-8.325604,-1292.33398,3.149905,1.251843,10.147858,2.173364,0.493435
587725816963006605,1.07045,0.496786,0.609002,0.614552,-708.003967,-42.040501,-5094.66846,6.081851,2.159802,14.264637,2.351746,0.935278
587725816963006660,1.074574,0.447363,0.649372,0.657272,-1349.58801,-21.956404,-8806.44141,8.885894,2.790012,16.137735,2.385549,2.47778
587725816963006755,1.044121,0.504364,0.557073,0.591501,-1514.65076,-70.618347,-8244.5,6.191894,1.951801,12.373612,2.300004,3.93176
587725816963006765,0.86001,0.414644,0.385778,0.428813,-323.298645,-42.717312,-4524.53271,4.5214,1.660196,14.294235,2.269558,0.557912
587725816963072103,0.998161,0.4849,0.278665,0.324019,-2772.39893,-465.639557,-1.607247E4,8.206183,2.576524,19.053854,2.352409,29.571178
587725816963072175,0.951202,0.416636,0.388599,0.451204,-218.07193,-4.721707,-3013.95337,3.416329,1.363792,10.727375,2.262327,0.729661
587725816963072187,0.515518,0.341022,0.237814,0.282946,-22.093397,-773.638184,-8877.44922,6.679078,2.85994,78.313942,2.150886,0.841626
587725816963137635,0.893946,0.391287,0.780493,0.788377,-334.77829,-8.183649,-4691.96191,4.41153,1.64607,12.222965,2.309274,0.44228
587725816963137658,0.525398,0.347952,0.616208,0.56317,-2504.30591,-1026.74402,-5360.06885,8.826231,4.133986,9.831794,2.417401,22.358685
587725816963137747,0.906054,0.396608,0.529179,0.568373,-387.922302,-102.330513,-7488.56445,6.070663,2.222457,21.837053,2.337603,1.990317
