objID,,,deVAB_i,expAB_i,lnLexp_i,lnLdeV_i,lnLstar_i,petroR90_i,petroR50_i,mRrCc_i,mCr4_i,texture_i
587722981735858316,0.66703,0.379009,0.852444,0.882705,-169.333099,-43.131512,-4063.47192,5.105054,1.94082,21.98296,2.231653,2.925872
587722981735858317,0.955774,0.4844,0.316363,0.365124,-1243.87903,-175.205338,-1.355924E4,6.83591,2.364117,27.817583,2.286977,6.70739
587722981735923855,0.917973,0.442013,0.390099,0.446515,-349.103943,-15.97569,-2629.0061,4.868527,1.76977,15.771049,2.262999,1.019295
587722981736120468,0.907301,0.40782,0.278029,0.320275,-307.130341,-245.133957,-7489.43799,5.408497,2.145092,31.337061,2.260758,11.773703
587722981736120469,0.82309,0.364542,0.74731,0.736385,-81.32753,-35.676086,-1407.03174,4.267973,1.752411,19.262678,2.257621,0.855751
587722981736185949,1.164621,0.470701,0.391897,0.43327,-503.316711,-34.676941,-4059.32715,5.074959,1.909546,17.46277,2.317111,1.728312
587722982272860264,0.537552,0.350941,0.566668,0.587241,-503.747406,-4152.40625,-3.518563E4,11.523136,4.774641,168.677551,2.19136,23.219374
587722982272860287,0.390509,0.303049,0.698828,0.753858,-15.780236,-222.481949,-3051.40869,6.038059,2.640813,50.016357,2.165999,0.380791
587722982272860295,0.936529,0.371466,0.275033,0.336589,-112.890823,-14.802681,-2025.83398,3.532791,1.436547,13.540736,2.239242,0.911042
587722982272925748,0.490067,0.311675,0.9714,0.961355,-3488.14893,-633.644897,-3.375017E4,7.520435,2.93587,32.280483,2.40691,19.601593
587722982272925815,0.898197,0.441401,0.565813,0.57974,-341.264923,-47.959591,-4260.4043,7.04139,2.633929,28.331951,2.33497,0.160295
587722982273056897,0.65287,0.381542,0.54693,0.571367,-196.778091,-296.615173,-9965.61816,5.732347,2.310669,31.353222,2.286983,11.254867
587722982809665654,0.872423,0.441986,0.903467,0.910806,-496.699524,-18.06889,-4702.0498,4.953135,1.797839,15.682825,2.320265,1.254758
587722982809731131,0.938715,0.431536,0.839406,0.855167,-509.539276,-52.614929,-2380.86572,9.824651,2.965549,17.981411,2.365135,1.353077
587722982809731137,1.048569,0.469011,0.650409,0.70183,-1201.57056,-63.070782,-6056.03809,6.010785,1.916771,13.52326,2.301119,6.229247
587722982809731160,0.839886,0.403795,0.916141,0.956988,-824.961548,-60.398716,-7123.98535,7.348893,2.47283,21.434246,2.352416,1.182188
587722982809731171,0.82089,0.4321,0.762348,0.773438,-2258.71582,-33.759995,-1.286568E4,7.064591,2.258654,17.467281,2.315301,5.779648
587722982809796673,1.079288,0.446463,0.718634,0.764203,-913.940491,-43.184967,-7864.21875,6.516908,2.331297,20.368965,2.353058,1.363646
587722982809862253,1.146257,0.527086,0.511994,0.535506,-266.888672,-13.195524,-3583.72754,7.379967,2.734261,30.984419,2.357643,0.19607
587722982809862289,1.401997,0.512661,0.612432,0.640915,-457.106079,-11.287225,-3201.84766,6.11925,2.14424,18.62491,2.292822,0.483127
587722982809927814,1.226908,0.492481,0.461868,0.504974,-546.538513,-23.407192,-3502.10205,6.264048,2.195022,18.588627,2.365149,1.785352
587722982809927817,0.318073,0.196777,0.187198,0.243591,-9.289473,-255.41127,-2960.89502,7.270333,3.394737,126.398697,2.137369,0.203928
587722982809927831,1.261227,0.464088,0.884227,0.905744,-429.419739,-12.194143,-2525.27344,7.298253,2.320162,16.798956,2.351452,1.16638
587722982809927840,0.866938,0.411991,0.678986,0.716025,-368.149994,-110.534729,-2718.15552,4.404382,1.923952,16.822945,2.416144,1.624096
587722982809927871,1.103586,0.496723,0.347855,0.374529,-40.118465,-185.42334,-5031.70947,7.698512,3.058083,62.460285,2.24666,1.129415
587722983346667563,0.886941,0.448593,0.761302,0.737375,-7821.54297,-1547.01941,-2.486763E4,9.877991,3.103473,19.688185,2.33699,57.967117
587722983346667580,0.706305,0.417526,0.622901,0.584521,-884.718506,-316.558807,-7059.3877,9.174582,3.550816,42.406666,2.468413,2.822398
587722983346667631,0.959545,0.449872,0.881158,0.86429,-1.603574E4,-957.39093,-6.02621E4,16.549212,5.102538,28.434113,2.411447,122.264503
587722983346667632,0.929735,0.428656,0.482564,0.481833,-354.21637,-60.054661,-4541.87012,5.393113,1.919223,18.197361,2.243723,2.136384
587722983346798728,0.872265,0.468243,0.640175,0.659493,-1241.73816,-66.63765,-7200.26465,7.432644,2.600224,20.620018,2.379715,5.091016
587722983346798730,1.113497,0.532726,0.696277,0.676965,-764.690369,-34.275993,-3816.75024,7.036703,2.215821,16.417498,2.327863,3.192546
587722983346864137,0.843824,0.448301,0.486892,0.508302,-267.361389,-82.910049,-4295.7959,5.098538,2.07436,23.245466,2.323088,1.481255
587722983346864222,0.994112,0.45599,0.391227,0.469828,-200.6353,-3.284378,-2071.54663,4.623682,1.709683,15.354359,2.274914,0.439347
587722983346864232,1.16433,0.467068,0.816163,0.823846,-379.250977,-16.829124,-2313.59619,6.847162,2.243438,16.919508,2.325758,0.705856
587722983883407471,0.868174,0.365932,0.416829,0.488912,-331.029358,-24.897947,-2054.74365,4.72927,1.612216,12.641311,2.275759,1.630426
587722983883407473,0.546938,0.341608,0.470785,0.534313,-8.529687,-431.989563,-4300.70361,5.254076,2.599459,59.22319,2.147719,0.34203
587722983883473006,0.494005,0.284672,0.193381,0.213887,-99.834351,-678.294922,-1.025101E4,13.32828,5.464139,291.957977,2.287994,2.929301
587722983883473014,0.576305,0.415163,0.489169,0.524887,-3.665986,-161.32869,-3093.26489,4.781342,2.056391,30.502447,2.179493,0.170386
587722983883473036,0.932612,0.418725,0.815933,0.828788,-3902.30786,-267.669891,-1.655023E4,9.363469,2.962966,19.69978,2.379047,25.843311
587722983883473047,0.880939,0.463011,0.235099,0.280468,-25.283371,-120.062981,-3284.0625,5.825814,2.386691,45.299046,2.245486,1.662303
587722983883473048,0.858278,0.423708,0.467992,0.483806,-215.772324,-22.82762,-3214.18262,4.176287,1.697432,16.911322,2.282086,1.6661
587722983883473066,0.450508,0.259647,0.199963,0.214728,-43.531116,-517.5979,-6466.71826,10.166198,4.415723,238.592682,2.170652,0.526999
587722983883473077,0.900701,0.397815,0.615425,0.575315,-6827.54639,-1740.05029,-2.28137E4,11.666315,4.146551,21.18228,2.43356,141.763382
587722983883473088,0.801744,0.462183,0.189814,0.246733,-58.175964,-198.486649,-4812.78027,6.828413,2.693567,65.621971,2.210464,3.300214
587722983883669587,0.906839,0.385109,0.729792,0.763845,-722.213745,-42.241085,-5817.05273,6.506475,2.269768,19.701517,2.399394,2.567885
587722983883669609,0.563381,0.332893,0.875368,0.891333,-142.947723,-1200.49866,-8333.05664,7.696766,4.216391,151.912994,2.096017,2.038936
587722983883669640,0.555073,0.314392,0.903597,0.929316,-41.192692,-116.119667,-2790.51025,7.420216,3.495982,68.169991,2.41783,0.654235
587722983883735150,0.817949,0.416199,0.675206,0.686759,-184.003891,-5.838714,-2293.30713,5.729537,2.194213,21.466059,2.312131,0.361519
587722983883735156,0.464773,0.273479,0.633489,0.689146,-3.275616,-124.292763,-2137.69971,5.459436,2.265375,37.346397,2.127951,0.168807
587722984420212871,0.816164,0.368454,0.607135,0.632508,-106.427994,-1.116537,-1553.34351,4.28021,1.735126,17.680801,2.252779,0.348084
587722984420212873,0.885973,0.39555,0.419819,0.436412,-384.241272,-51.902641,-4968.68994,4.415296,1.751809,18.565363,2.246973,3.943719
587722984420278354,0.982527,0.416695,0.805153,0.815422,-162.802231,-1.12633,-1554.95679,4.242608,1.653528,15.475467,2.254152,0.974691
587722984420278356,0.791061,0.409193,0.66347,0.630291,-851.016357,-182.246536,-7978.26465,8.028917,2.898401,32.673717,2.345747,3.522644
587722984420278442,0.650663,0.353806,0.753238,0.803378,-41.590591,-717.693787,-6762.79297,6.574445,3.287856,84.746933,2.181888,0.946197
587722984420343915,1.271441,0.507215,0.949999,0.998942,-771.434631,-51.453869,-4425.92529,10.320668,3.148167,23.867718,2.38159,1.781464
587722984420343947,0.825125,0.406584,0.793878,0.8273,-465.438812,-195.437897,-4912.52734,6.493001,2.590867,30.587046,2.365772,3.801774
587722984420343948,0.678461,0.417782,0.613239,0.637647,-15.888011,-528.099487,-3934.24927,5.526073,2.521057,48.749889,2.152735,10.507837
587722984420409358,0.504251,0.393813,0.848633,0.806289,-2255.33521,-285.850891,-8871.44629,5.844685,1.901775,13.989384,2.268049,32.329403
587722984420409360,0.607994,0.389302,0.522513,0.535084,-458.88205,-3530.14258,-3.463084E4,8.602209,3.975262,110.06411,2.318095,33.736095
