objID,,,deVAB_i,expAB_i,lnLexp_i,lnLdeV_i,lnLstar_i,petroR90_i,petroR50_i,mRrCc_i,mCr4_i,texture_i
587722981739200613,0.539366,0.396603,0.699815,0.710057,-69.21788,-666.64978,-6207.03516,4.558798,2.140313,35.214191,2.12629,1.749859
587722981739397282,0.778616,0.436945,0.694017,0.695014,-146.360825,-736.26355,-5966.88574,5.275762,2.724847,62.071468,2.167292,2.70612
587722981739462770,0.625708,0.363787,0.601419,0.646465,-42.617733,-63.520771,-2221.30493,4.194927,1.874255,23.20974,2.260355,1.59235
587722981739528240,0.617128,0.419151,0.162117,0.189012,-95.803947,-433.620056,-6840.38867,6.738084,2.861546,80.080521,2.18375,3.858015
587722981739528253,1.013714,0.41375,0.783979,0.786714,-496.130463,-13.089074,-3204.35327,6.177713,2.19862,19.441341,2.287585,0.324413
587722981739528262,1.042353,0.455074,0.768042,0.727155,-1147.11963,-50.885777,-6737.46973,9.199693,2.895437,23.230642,2.302715,1.572741
587722981739528277,0.928585,0.433556,0.566442,0.641538,-69.82888,-12.854954,-1436.1626,4.26769,1.797497,21.288601,2.233996,0.86638
587722982276006024,1.070343,0.46958,0.741498,0.758485,-832.400085,-7.673531,-5575.05811,7.105,2.294934,17.809626,2.321776,0.872715
587722982276071550,1.024136,0.376713,0.592125,0.651493,-820.683777,-30.479868,-5435.14941,5.966269,1.883214,14.639895,2.268116,1.174338
587722982276137077,1.049891,0.450967,0.704048,0.705758,-3749.06543,-187.259018,-1.713901E4,7.860364,2.405214,15.409776,2.335057,19.939453
587722982276202659,0.657198,0.364969,0.561331,0.576246,-218.466843,-21.038406,-3536.8623,6.374464,2.349016,22.67417,2.382425,0.524804
587722982276333627,0.977085,0.420761,0.392673,0.424145,-227.479202,-53.59193,-3720.89038,5.27529,1.977228,21.514294,2.28542,1.270748
587722982276333669,1.040876,0.404913,0.743909,0.759873,-842.340393,-42.780319,-4933.17725,8.361757,2.810684,21.088545,2.365107,1.449559
587722982276399181,1.094925,0.486237,0.509415,0.536786,-314.531128,-79.73381,-5751.0332,6.575239,2.414159,27.783731,2.27894,2.492277
587722982276399184,0.968103,0.413311,0.681413,0.691677,-133.913193,-0.095328,-1797.31665,4.147786,1.673297,15.692735,2.263854,0.204679
587722982812876932,0.293118,0.170706,0.570728,0.62324,-55.889236,-139.549484,-2542.13623,5.228929,2.105037,28.273827,2.230701,0.896675
587722982812942441,0.715687,0.423344,0.402969,0.4128,-489.693024,-339.402954,-4482.18945,6.542758,2.806107,44.985374,2.373152,5.772681
587722982812942488,1.408415,0.558393,0.686503,0.682222,-377.76947,-19.573769,-1904.05627,5.165583,1.797889,11.511327,2.330148,1.083434
587722982813007956,0.37549,0.137138,0.467933,0.493371,-173.760254,-231.794907,-4240.35742,5.352381,3.156638,221.094696,2.437393,1.429849
587722982813007992,0.967136,0.40247,0.973067,0.910361,-375.109131,-9.581578,-2795.81616,4.19434,1.418285,8.407349,2.289693,0.917194
587722982813007996,0.249033,0.26413,0.749989,0.759025,-45.817986,-488.490936,-7716.50635,5.61529,2.241425,31.015636,2.223181,1.12266
587722982813008016,0.88619,0.410007,0.92432,0.907286,-725.029419,-87.636292,-3325.61133,4.592844,1.792179,9.635966,2.407806,7.161888
587722982813008018,0.561607,0.387463,0.726778,0.714579,-393.121277,-3083.79663,-1.743076E4,6.662557,3.40091,100.509193,2.075756,8.334542
587722982813073470,0.997232,0.420584,0.358504,0.367914,-96.369209,-24.152576,-1123.30664,2.8106,1.00302,6.041303,2.177948,0.371372
587722982813073496,1.135456,0.471029,0.534817,0.551084,-343.341095,-77.678787,-3807.45776,5.547298,2.023226,16.543484,2.384156,0.833076
587722982813073506,0.908163,0.401812,0.790491,0.771271,-4982.38916,-423.102966,-1.870221E4,10.80631,2.964998,11.044574,2.370426,46.633316
587722982813073531,1.118195,0.498352,0.267249,0.335494,-747.217529,-91.912766,-4446.34229,5.153757,1.690949,11.235825,2.302309,5.012519
587722982813204559,0.967592,0.410391,0.86625,0.831987,-1792.08301,-59.172787,-1.044885E4,8.164289,2.761157,19.677794,2.364738,3.221268
587722982813204629,1.140341,0.44729,0.729242,0.718957,-630.672668,-22.573105,-3154.1377,7.057533,2.22313,13.083228,2.321594,1.535408
587722982813270119,0.653608,0.351555,0.818189,0.849602,-15.084901,-327.575287,-3468.67114,5.126502,2.463275,47.807034,2.144355,0.601558
587722983349813349,0.769768,0.369661,0.464731,0.516343,-54.041725,-63.424984,-3425.90308,5.212035,1.997352,23.780336,2.266258,1.397425
587722983349813371,0.791325,0.372259,0.987434,0.976606,-123.097473,-11.418293,-2069.53613,4.442382,1.618931,13.022512,2.234482,0.738342
587722983349813379,0.853991,0.406076,0.930418,0.908467,-8869.96973,-922.66449,-2.843755E4,10.6437,2.962013,13.820409,2.342025,130.420914
587722983350009943,1.094921,0.550905,0.297196,0.334398,-281.203583,-11.484637,-3280.02368,4.761837,1.724335,14.389347,2.310445,0.730387
587722983350075410,0.467598,0.23221,0.457778,0.49481,-101.878387,-1649.85681,-1.113712E4,3.275101,1.659466,26.188093,2.091109,5.603792
587722983350075498,0.765703,0.45553,0.365339,0.383639,-75.785187,-512.00824,-7353.65967,7.721286,3.226845,75.605095,2.210177,1.227934
587722983350075511,0.513502,0.329027,0.749983,0.78744,-41.236977,-358.309174,-4489.27393,5.296791,2.473996,45.75359,2.18567,0.422735
587722983886684268,0.558767,0.408318,0.222434,0.271044,-89.193336,-118.665894,-3699.26611,6.692712,2.617242,44.374577,2.276993,1.108175
587722983886684324,1.20858,0.558098,0.764366,0.824002,-884.441284,-78.199738,-5030.65039,10.712604,3.189423,18.781799,2.320031,0.98132
587722983886946420,1.418608,0.526731,0.860829,0.873076,-845.163086,-75.713188,-3515.68457,7.827451,2.535519,14.121101,2.296005,2.545487
587722983887011953,0.893095,0.450858,0.392796,0.453009,-931.92157,-747.243835,-1.578567E4,8.270362,3.011802,49.652367,2.303273,22.953077
587722984423555168,1.230543,0.471212,0.774786,0.837757,-207.995804,-2.646967,-1613.82227,4.880585,1.729831,13.832298,2.267043,0.884199
587722984423555170,0.774811,0.375256,0.884204,0.888016,-606.101196,-8.605835,-6327.69629,6.051028,2.143838,20.131424,2.299296,1.092456
587722984423555187,0.882151,0.431141,0.835452,0.822409,-278.332306,-27.330126,-3648.34375,4.446807,1.671867,15.358046,2.24513,1.687526
587722984423555238,1.113815,0.458302,0.862241,0.855568,-249.127014,-21.801552,-1143.69458,7.596115,2.328325,16.494373,2.272254,0.557958
587722984423620688,0.319811,0.190321,0.204296,0.199995,-158.994736,-501.05954,-5349.49756,9.635054,4.663018,288.718323,2.079049,1.8545
587722984423620737,1.179976,0.514296,0.946259,0.939501,-354.331848,-11.310488,-3102.72217,9.513784,2.796302,18.527941,2.348642,0.397953
587722984423882883,0.991972,0.431791,0.868742,0.883899,-295.493683,-19.867964,-3474.24097,5.715701,2.256715,24.976536,2.310735,0.764517
587724648182317252,0.955044,0.412249,0.775592,0.803269,-1282.45862,-143.17865,-1.438331E4,5.26976,1.808351,12.624308,2.291184,11.240108
587724648182317265,0.903152,0.454744,0.565489,0.614921,-332.04364,-15.724422,-5643.02539,4.73835,1.728871,13.256679,2.319852,1.078483
587724648182382659,1.158182,0.465172,0.808398,0.825423,-285.108368,-84.462067,-4188.0752,4.082141,1.492244,10.772333,2.244273,4.720496
587724648182382716,0.926762,0.426655,0.825915,0.817363,-563.980774,-38.956886,-5942.62061,6.265539,2.120006,14.553143,2.386432,1.400595
587724648182382732,0.938799,0.432325,0.360603,0.456736,-940.48761,-80.459625,-7526.54443,3.794914,1.352818,9.247168,2.262922,8.569997
587724648182382734,0.966084,0.413408,0.933941,0.980853,-1970.56165,-93.526375,-1.037054E4,10.02608,3.228466,13.62993,2.415971,4.675049
587724648182448168,0.475845,0.50596,0.721762,0.66234,-7492.49463,-1482.69788,-1.891724E4,5.53866,1.664145,7.212521,2.281229,304.088226
587724648182448246,0.529289,0.354103,0.900099,0.888443,-110.162498,-248.579437,-6089.37061,8.594007,3.464231,58.933155,2.379778,2.320073
587724648182448351,0.930477,0.413204,0.511817,0.515262,-1799.46033,-29.365042,-1.294173E4,5.974051,1.940159,13.60942,2.294392,3.530175
587724648182448404,0.448105,0.289524,0.207622,0.247102,-8.025306,-180.361664,-2825.27075,7.500379,3.061592,87.895294,2.25566,0.162542
587724648182513672,1.128563,0.475332,0.698057,0.720482,-686.808899,-25.620918,-4282.71924,6.465306,2.036062,11.477069,2.32408,1.8597
587724648182513684,0.2645,0.349674,0.664204,0.684403,-349.419312,-683.492187,-1.36403E4,5.049114,2.053458,23.350275,2.31849,14.537307
587724648182513750,1.100616,0.389132,0.891337,0.810926,-388.483643,-83.31987,-1919.68994,5.42603,1.809705,9.050061,2.254974,0.769594
587724648182513818,1.019871,0.432194,0.792641,0.828082,-494.819244,-30.734653,-5946.85059,7.048105,2.356533,17.254301,2.422273,1.196122
587724648182513856,1.463186,0.531563,0.854499,0.826028,-437.702118,-25.762827,-2334.06348,8.638696,2.672058,11.511897,2.334804,0.533669
587724648182579221,1.133324,0.500063,0.553273,0.590961,-491.889618,-22.184944,-3040.13843,7.645657,2.457077,12.919147,2.402554,1.439496
587724648182579349,0.677935,0.367651,0.92092,0.933643,-162.254776,-548.59082,-1.210206E4,4.995649,1.966727,21.989082,2.268356,10.156729
587724648182579364,0.960239,0.456703,0.571193,0.605342,-183.122482,-7.952544,-3401.64307,3.899478,1.406767,9.806606,2.269369,0.824572
587724648182579395,1.511089,0.529135,0.561465,0.566603,-248.87941,-20.005926,-3799.28149,5.946477,2.24787,18.991564,2.404608,0.468776
587724648182644876,0.79236,0.398863,0.957775,0.918634,-827.190857,-223.317429,-7767.47998,5.08185,1.790032,12.137478,2.323908,6.843535
587724648182644901,1.075758,0.428303,0.637166,0.62753,-653.713867,-57.104744,-3927.75366,6.308612,1.932288,9.182215,2.36519,2.264553
587724648182644913,0.542793,0.312721,0.840525,0.849869,-55.328949,-610.973877,-4676.55518,3.78295,1.940486,31.42478,2.118325,1.221332
587724648182644915,0.623884,0.336735,0.904314,0.899848,-3.123569,-327.787018,-3470.19849,4.61017,2.317,41.123753,2.219136,0.566216
587724648182644964,0.904457,0.385689,0.597395,0.675087,-329.8013,-21.047262,-3573.11621,11.017777,3.119007,21.363558,2.418574,0.448284
587724648182710297,0.914825,0.385056,0.918944,0.931462,-1742.44031,-206.802139,-6898.8916,5.880769,1.695688,7.115117,2.288927,11.472941
587724648182710398,0.936882,0.412771,0.70344,0.711468,-697.726501,-11.770214,-4217.79395,3.946106,1.387948,7.346568,2.287711,4.140562
587724648182710420,1.114143,0.434767,0.588734,0.642158,-664.66748,-26.517292,-3827.14014,4.259115,1.4039,7.56738,2.292042,3.745971
587724648182710424,0.97394,0.425131,0.537225,0.534575,-475.156677,-139.149826,-6942.51904,6.435091,2.39285,21.896309,2.437372,5.480455
587724648182710426,0.906099,0.409655,0.583302,0.6274,-830.241577,-51.9613,-1.113895E4,4.488392,1.548202,11.081386,2.270006,9.135799
587724648182710457,1.042833,0.442253,0.999864,0.99978,-384.510559,-31.447922,-2366.84253,5.547168,1.646323,8.253257,2.288112,0.997779
587724648719188241,1.028133,0.456886,0.39776,0.455314,-631.235962,-246.547272,-9984.8252,6.876862,2.331431,23.70389,2.352243,4.798147
587724648719188272,0.844309,0.425369,0.378436,0.383676,-1661.53357,-517.37262,-8705.36426,8.091687,2.786864,10.537888,2.457588,42.097824
587722982812876860,1.231354,0.463571,0.638492,0.670371,-2898.44727,-237.050964,-1.275559E4,8.53173,2.612723,17.742651,2.319945,14.578489
587722981739462687,1.161314,0.513956,0.30824,0.316964,-515.06073,-109.581467,-3428.24194,5.726802,1.980235,16.048367,2.265107,0.765361
587722981739331736,0.849829,0.382227,0.507233,0.558032,-5244.89355,-825.333862,-1.905092E4,9.871251,2.923276,13.966861,2.361573,47.978214
587722981739331732,0.557335,0.338701,0.680585,0.73781,-44.60268,-1028.5509,-7786.15771,4.546093,2.265378,42.697762,2.107177,2.069858
587722981739331673,0.646485,0.383404,0.528172,0.517163,-4553.79736,-1645.5918,-2.530649E4,9.061967,3.079238,29.014856,2.412148,103.054771
587722981739266135,0.80105,0.384228,0.648582,0.680981,-330.209503,-4.364475,-2678.07983,5.13861,1.675346,11.69885,2.274605,0.681401
587722984423882893,0.813536,0.436581,0.585147,0.590025,-138.959366,-77.845284,-2004.0946,4.75723,2.123523,26.377224,2.287277,0.433269
587722984423817401,1.173153,0.499979,0.816211,0.86385,-429.157654,-27.011267,-2274.13086,9.05652,2.98323,22.447086,2.327672,0.982802
587722984423817334,1.175385,0.52549,0.579573,0.602165,-586.726624,-34.029285,-4087.91309,6.792281,2.293428,20.55237,2.283106,2.286336
587722984423686222,1.220705,0.352612,0.999971,0.996112,-357.444153,-24.128998,-2062.65576,4.525332,1.441036,8.644658,2.2084,1.894875
587722984423620682,0.684761,0.376241,0.596029,0.572088,-303.012665,-3276.25415,-2.337671E4,8.207225,4.026755,123.459221,2.239623,30.984346
587722984423555242,0.740444,0.526114,0.116926,0.153214,-30.941196,-514.709473,-5971.40234,8.745781,3.570201,131.576385,2.097458,0.999379
587722984423555220,1.409735,0.52787,0.823282,0.852628,-149.313797,-4.05527,-2713.21777,8.359797,2.796647,30.044617,2.331598,0.194062
587722983887011966,0.940516,0.432119,0.529316,0.561146,-416.563599,-15.685905,-5478.02246,5.356436,2.058349,23.234768,2.264578,0.971902
587722983350141040,0.913086,0.478106,0.507317,0.52096,-1856.36365,-99.251732,-1.586858E4,9.395352,3.164274,30.277193,2.378405,2.138317
587722983350141037,0.967987,0.461233,0.349948,0.415499,-1233.82935,-104.786797,-7276.79639,5.550351,1.937247,18.975927,2.265629,5.928362
587722983350075484,0.767879,0.413416,0.820506,0.829676,-29.841309,-370.713562,-4372.03516,4.766152,2.353925,40.460983,2.23298,2.556949
