objID,,,deVAB_i,expAB_i,lnLexp_i,lnLdeV_i,lnLstar_i,petroR90_i,petroR50_i,mRrCc_i,mCr4_i,texture_i
587725073919508711,1.233067,0.508848,0.702447,0.68131,-429.914459,-162.747818,-4114.22217,6.164624,2.641095,23.744196,2.523562,1.707457
587725073919508723,0.971561,0.41256,0.647421,0.675087,-650.748901,-22.007303,-4391.16943,5.741502,1.791784,8.864758,2.349082,4.242167
587725073919508728,0.723696,0.366613,0.326164,0.369499,-364.075836,-21.343189,-4459.46289,3.83397,1.293703,9.003404,2.244277,5.735062
587725073919508737,0.894632,0.38155,0.406809,0.461191,-444.235382,-53.765873,-4339.05811,3.392497,1.255176,7.672267,2.274404,3.742054
587725073919508756,1.115938,0.43108,0.928948,0.903684,-1658.07104,-58.96933,-9025.90918,5.611233,1.791641,8.313231,2.32003,9.639562
587725073919574217,0.902294,0.401352,0.80758,0.867568,-516.871887,-45.051113,-4762.14209,3.234493,1.223587,6.757255,2.317894,5.437329
587725073919574266,0.816286,0.431284,0.375284,0.430555,-138.730316,-162.884003,-5919.1001,3.539322,1.396233,12.153887,2.271188,18.126793
587725073919574296,0.570002,0.335007,0.241053,0.270184,-51.158775,-453.91626,-3896.8291,6.228571,2.856478,93.917015,2.10658,1.111439
587725073919639739,1.101286,0.466141,0.896782,0.915402,-710.744019,-42.666977,-4770.37402,5.71238,2.020147,9.543224,2.421635,4.378153
587725073919639766,0.626881,0.329622,0.528329,0.58281,-171.519012,-267.9104,-5510.146,6.112267,2.716633,36.273048,2.399925,3.425179
587725073919705241,1.099854,0.448053,0.720603,0.686884,-442.987213,-38.827702,-2768.0332,5.266146,1.772201,8.485688,2.354807,2.948541
587725073919770826,1.17345,0.512781,0.468886,0.484052,-485.38913,-21.826399,-3930.57544,6.263346,2.001332,11.934891,2.363423,2.841967
587725073919770828,0.675535,0.42733,0.234692,0.273906,-59.16824,-553.082886,-6092.07959,4.936114,2.202036,50.498966,2.198085,2.442936
587725073919770839,0.473295,0.340649,0.862197,0.88425,-225.206406,-20.396589,-2999.17822,4.01264,1.331358,8.095824,2.221154,3.232078
587725073919770870,0.806124,0.501599,0.125615,0.121603,-913.191772,-1511.32178,-2.70387E4,17.476202,6.814441,450.146606,2.31745,78.62294
587725073919770915,0.716623,0.396837,0.665902,0.614717,-1185.04443,-364.198883,-1.024536E4,6.032616,2.092418,14.163074,2.430939,19.580383
587725073919836419,0.741901,0.432735,0.699801,0.691335,-417.418549,-239.306656,-8504.73633,3.546765,1.355443,9.880863,2.267939,29.975988
587725073919836439,0.940083,0.602661,0.13541,0.166948,-108.069298,-925.7854,-1.090769E4,7.096903,2.627404,77.025642,2.173744,4.908498
587725073919901899,1.533302,0.552053,0.94468,0.940832,-798.625732,-62.311375,-3824.44409,6.42693,2.118552,8.499145,2.326037,2.471497
587725073919901948,0.899389,0.380121,0.534563,0.54812,-401.898132,-60.209709,-4118.19824,3.898579,1.427805,9.06811,2.30545,5.01588
587725073919967442,0.95643,0.417389,0.408883,0.438465,-1208.47656,-49.221455,-9667.89746,4.74011,1.521743,8.712735,2.274684,11.071678
587725073919967469,0.977594,0.491688,0.187391,0.23628,-100.646828,-614.962769,-6734.13037,5.613047,2.474734,62.971748,2.161318,3.499362
587725073919967509,0.779226,0.363134,0.890834,0.87644,-89.68364,-184.838181,-4084.50171,3.433946,1.503279,13.751351,2.310284,9.743091
587725074456379740,0.776291,0.388351,0.641246,0.534384,-1.146404E4,-2484.26465,-3.21339E4,10.109896,3.664422,10.52493,2.350888,148.273315
587725074456707319,0.71348,0.386436,0.906671,0.882107,-50.991184,-88.573296,-3262.40088,2.709383,1.120448,8.076685,2.200012,7.893181
