objID,,,deVAB_i,expAB_i,lnLexp_i,lnLdeV_i,lnLstar_i,petroR90_i,petroR50_i,mRrCc_i,mCr4_i,texture_i
587722981743394927,0.445396,0.284386,0.816837,0.830881,-1.015042,-390.70929,-3354.53687,5.390273,2.506531,43.596184,2.2354,2.595677
587722981743394947,0.85108,0.384125,0.737522,0.758072,-405.881866,-23.654623,-3337.64893,3.836275,1.495132,10.556254,2.308265,2.306925
587722981743394964,1.184738,0.485971,0.486073,0.524937,-249.7957,-34.374958,-4692.03857,5.289464,1.862362,16.605907,2.274127,2.307006
587722981743394975,0.706444,0.337616,0.822884,0.859233,-410.806213,-64.046654,-4042.42993,4.256693,1.560893,11.199064,2.284102,5.948859
587722981743394985,0.882702,0.412622,0.526487,0.565091,-637.029968,-81.286469,-6953.0293,5.578521,1.977816,17.410849,2.323556,3.689666
587722981743526073,0.284325,0.23469,0.974447,0.953054,-47.150524,-215.939133,-2787.54663,5.430454,2.462302,40.691925,2.254874,1.164082
587722981743657087,0.918695,0.368715,0.859702,0.836691,-1170.78003,-58.639881,-7745.11182,4.858855,1.768224,11.718226,2.337342,6.562014
587722981743657103,0.875456,0.37477,0.832615,0.882097,-817.876404,-705.946045,-1.383618E4,5.903393,2.527102,29.579966,2.434984,11.285526
587722981743722704,0.596146,0.313101,0.730886,0.749794,-46.834759,-312.430115,-3019.7793,4.674134,2.484577,51.931267,2.161965,0.817391
587722982280331353,1.222916,0.546459,0.531938,0.533791,-438.23349,-46.53738,-2527.61548,5.218894,1.689728,11.276431,2.289056,0.693929
587722982280331428,1.016441,0.444376,0.705888,0.732532,-584.022522,-87.637802,-2234.77319,5.032599,1.594087,8.501629,2.29705,3.622462
587722982280331457,0.969347,0.451569,0.974971,0.915911,-334.100128,-1.462626,-2708.52783,5.476403,1.842383,12.471577,2.341294,0.46462
587722982280331459,1.34354,0.501205,0.962545,0.998684,-949.561279,-67.973976,-4750.01221,6.82689,2.199333,12.664309,2.340009,2.113275
587722982280331480,0.643492,0.352261,0.305561,0.369833,-138.097015,-118.809464,-3881.82739,3.876527,1.585421,16.603003,2.246999,2.78456
587722982280462410,0.326248,0.254583,0.623751,0.658588,-36.873764,-596.568726,-5926.50635,4.993731,2.13906,35.340996,2.081601,1.759116
587722982280462473,0.905581,0.389324,0.923414,0.918391,-85.953865,-16.351482,-1854.05042,3.061155,1.182184,8.593609,2.202397,1.662546
587722982280462491,1.264833,0.498184,0.887208,0.862058,-1722.99829,-168.875717,-7566.17432,8.629826,2.779629,12.795764,2.363393,5.70165
587722982280462511,0.85243,0.439817,0.700129,0.691909,-157.514755,-302.274445,-8433.26953,8.754009,3.468671,61.834461,2.359324,4.992877
587722982280528020,0.780262,0.397408,0.499998,0.519769,-124.132347,-413.612305,-4630.52002,5.222273,2.43581,46.590614,2.21867,2.0469
587722982280528042,0.73921,0.359836,0.811606,0.812676,-5087.85645,-261.375366,-2.334723E4,9.912879,3.239357,16.052212,2.407895,31.312342
587722982280593549,0.989117,0.415588,0.271704,0.332859,-1403.65576,-160.589539,-9047.15234,6.677162,2.037737,15.329314,2.299947,8.633012
587722982280593602,0.912416,0.434524,0.404718,0.43596,-1331.88013,-406.781555,-1.781687E4,5.807878,2.08726,19.497227,2.328919,33.334705
587722982280593611,0.878134,0.425827,0.544286,0.528346,-1669.07495,-220.479187,-1.056663E4,4.00286,1.412128,9.855636,2.249606,7.23781
587722982280659149,0.946239,0.414616,0.457136,0.472975,-310.80957,-93.227615,-3022.85425,3.166502,1.167786,8.047004,2.198665,1.007566
587722982280659209,0.947823,0.39513,0.675516,0.685537,-566.507446,-22.585512,-4451.79492,5.631636,1.947146,12.539249,2.349497,1.370135
587722982280724639,0.786203,0.400886,0.637376,0.582232,-8198.82617,-1541.25366,-2.557496E4,12.062485,4.353822,13.200152,2.366903,105.448387
587722982817136696,0.605673,0.35306,0.449973,0.482544,-43.06007,-919.922668,-8633.00195,4.195414,1.940295,30.610159,2.143047,2.18943
587722982817136721,0.470201,0.348977,0.735863,0.763011,-2031.53625,-957.221069,-2.393038E4,7.205096,2.644617,24.296074,2.299459,226.026947
587722982817136771,0.566288,0.343729,0.882959,0.8786,-40.706032,-276.561157,-5618.03955,3.915689,1.76485,19.952112,2.271843,3.615642
587722982817136824,0.690014,0.414208,0.580451,0.523972,-2746.91553,-835.209534,-1.615432E4,7.883063,3.033161,22.490965,2.534989,30.691055
587722982817202235,0.868484,0.378174,0.847073,0.877932,-581.222351,-62.692562,-2729.17285,5.554325,1.684686,8.85535,2.280332,1.642559
587722982817202308,0.914104,0.410973,0.333631,0.378837,-459.811646,-21.786549,-3193.15405,3.808943,1.316076,8.219112,2.273585,1.455397
587722982817267760,0.268677,0.133425,0.849895,0.894364,-32.150684,-43.951515,-2013.14844,3.661577,1.514218,14.428404,2.229303,1.19042
587722982817267916,1.02483,0.428919,0.422403,0.471351,-817.658142,-149.847046,-7245.55176,5.091635,1.912828,14.679611,2.369578,4.335177
587722982817333398,0.963381,0.487442,0.138902,0.1707,-550.437439,-134.671768,-7751.17725,11.768095,3.893722,75.741997,2.439508,1.123943
587722982817398983,0.633236,0.352425,0.611762,0.622782,-93.439064,-40.120548,-3398.77319,4.307717,1.64186,14.635589,2.255734,3.542121
587722982817464454,0.756428,0.392117,0.722973,0.725618,-474.665009,-170.113174,-8574.7666,4.084904,1.656327,13.999981,2.321903,7.744521
587722982817464546,1.112783,0.438183,0.789746,0.758515,-930.315186,-72.476509,-4206.92871,5.972153,1.87994,9.615294,2.317811,3.428509
587722982817529962,0.639586,0.328815,0.793795,0.810109,-2.15495E4,-1.188952E4,-1.103234E5,17.858259,7.205918,63.18129,2.616702,1762.85864
587722982817530019,1.141134,0.422186,0.777657,0.786439,-1773.51294,-172.99379,-9592.40723,6.254231,2.042055,11.564189,2.362226,11.858971
587722983354007669,0.915764,0.367535,0.474683,0.511273,-404.221344,-15.342621,-2796.0498,4.235871,1.42593,8.332687,2.264565,0.862367
587722983354007682,0.891248,0.397977,0.522088,0.508098,-4682.48145,-842.153992,-2.620844E4,13.97839,4.605285,23.355654,2.468986,43.001484
587722983354073198,1.073011,0.444792,0.763753,0.795317,-554.302673,-16.721167,-3666.19165,5.423291,1.69239,9.662785,2.285123,0.687648
587722983354073226,0.672216,0.370594,0.523463,0.53841,-566.094849,-19.818882,-5057.79736,6.563478,2.14852,15.422719,2.312978,0.899633
587722983354073232,1.055408,0.470531,0.572898,0.5862,-293.602081,-10.350106,-3071.42871,6.205485,2.263493,16.714563,2.372972,0.387626
587722983354073235,0.56913,0.305614,0.361954,0.393807,-244.537811,-1372.72009,-1.51966E4,12.293414,5.388198,282.428833,2.273166,6.50317
587722983354138808,1.082115,0.436078,0.888918,0.92842,-3752.90503,-376.830444,-1.399764E4,12.416343,3.785202,14.393818,2.379283,22.015842
587722983354138888,0.935667,0.410244,0.840458,0.815248,-680.029968,-76.31263,-2538.19312,4.108529,1.518979,7.489773,2.332139,6.918632
587722983354204280,0.921848,0.402361,0.429926,0.423695,-1536.17993,-290.967804,-8178.69775,7.920085,2.976344,18.424587,2.435417,10.998176
587722983354204301,1.282578,0.463446,0.468084,0.529296,-463.013306,-12.997832,-2991.79419,4.860785,1.530391,8.71809,2.30489,1.261404
587722983354204306,0.741343,0.408173,0.261696,0.315162,-400.673187,-126.5877,-4955.4248,5.391106,1.954675,19.001108,2.371665,1.185212
587722983354204326,0.608111,0.346485,0.555116,0.568909,-701.460693,-4746.08887,-4.362092E4,10.126617,4.287094,118.869507,2.28799,47.798077
587722983354204353,0.81254,0.373817,0.717542,0.719376,-745.568665,-279.299347,-1.188973E4,5.286188,2.074922,18.148277,2.408828,11.140163
587722983354269822,0.837557,0.387361,0.482366,0.483098,-541.56189,-1777.17297,-1.968525E4,6.727509,3.088655,62.392525,2.347025,85.221817
587722983354269883,0.655901,0.365019,0.596449,0.651171,-185.654205,-22.696114,-2716.16333,3.748243,1.456363,11.169833,2.292627,1.035759
587722983354335267,0.700762,0.396235,0.728331,0.67152,-2546.7019,-213.747528,-1.309044E4,5.182935,1.755593,10.44788,2.352415,26.572649
587722983354335402,1.31842,0.503086,0.730734,0.778916,-400.776794,-11.68492,-2499.17285,5.381619,1.722496,9.78891,2.281662,0.783475
587722983354335416,0.671602,0.370813,0.387617,0.399985,-24.53105,-549.73053,-5424.28613,5.728461,2.664946,65.898865,2.163785,1.217183
587722983890878558,1.136967,0.416241,0.830006,0.818051,-247.693497,-7.735292,-3468.04907,4.888652,1.715233,13.239145,2.261608,1.234488
587722983890878612,0.556576,0.33728,0.469074,0.523749,-29.732874,-431.117126,-5018.86523,4.947766,2.256244,39.840714,2.25672,1.325976
587722983890944072,0.859253,0.403357,0.807267,0.820489,-3.780638E4,-5894.40088,-1.355505E5,26.384592,9.692766,54.219147,2.45787,427.957397
587722983890944073,0.823125,0.385823,0.67521,0.657653,-1.623224E4,-2183.5249,-5.530955E4,9.760768,2.909765,21.979412,2.302973,238.931015
587722983890944132,0.640577,0.336792,0.270113,0.322497,-79.215103,-1043.87646,-9333.46094,11.660154,5.072567,228.598053,2.153749,4.015066
587722983890944160,0.727508,0.345982,0.373087,0.379742,-762.011169,-471.98056,-1.844721E4,8.85665,3.179969,48.737186,2.351209,22.378376
587722983890944174,0.492328,0.216473,0.552757,0.56307,-822.863586,-1285.55603,-1.987141E4,16.901737,7.914811,346.925873,2.485117,28.980013
587722983891009623,0.638742,0.279287,0.40536,0.438292,-53.20895,-123.306297,-4087.55835,7.467258,2.887329,46.36898,2.309147,1.288083
587722983891009627,0.908247,0.52724,0.53925,0.620189,-488.918243,-358.391541,-1.239403E4,7.246655,2.604617,34.005016,2.319122,15.553455
587722983891009657,0.844984,0.396116,0.670507,0.68517,-251.903381,-426.71756,-8520.71973,5.583652,2.446316,33.329662,2.378761,22.626871
587722983891009682,0.705692,0.352291,0.63551,0.622374,-90.286766,-13.59589,-2340.27954,6.771544,2.525029,25.793144,2.340611,0.573112
587722983891009683,0.654257,0.322092,0.769456,0.768419,-169.967972,-11.518383,-2899.021,5.762881,1.980271,16.297009,2.300756,1.29074
587722983891075142,0.589754,0.370054,0.7833,0.724066,-1104.6239,-1252.88159,-1.764148E4,5.083707,1.986931,22.397421,2.244611,65.712227
587722983891140677,0.560354,0.272993,0.61209,0.6692,-68.341675,-312.978424,-4649.99756,8.858115,3.495733,63.702629,2.298366,1.842051
587722983891140729,0.746214,0.365595,0.598413,0.623588,-144.900848,-837.60614,-9993.60254,7.255008,3.583098,96.388069,2.294529,7.603288
587722983891206252,0.460093,0.327263,0.657517,0.668485,-36.125565,-89.056335,-2756.63037,3.727489,1.515076,14.622162,2.179225,1.039695
587722983891206302,0.504156,0.302486,0.536654,0.559048,-28.502758,-208.447037,-4168.04102,5.576087,2.21036,30.934317,2.245835,5.024549
587722983891271730,1.37912,0.482038,0.624474,0.641463,-2517.22754,-366.807983,-1.479176E4,13.986677,5.389025,35.094482,2.467201,8.366993
587722983891271855,1.314274,0.496084,0.59324,0.637719,-354.595734,-4.655292,-3455.27002,6.7019,2.216494,15.43466,2.317509,0.08632
587722983891271865,0.707471,0.366492,0.749805,0.712668,-2063.99341,-4224.07373,-4.248297E4,8.104939,3.351896,66.127968,2.257791,129.579132
587722983891337336,0.909414,0.464479,0.475223,0.547531,-241.86467,-171.860077,-4391.11914,5.358577,1.948921,19.65354,2.25578,4.98493
587722983891337348,1.318407,0.474047,0.908369,0.919965,-983.923401,-61.590824,-5481.99902,6.957321,2.185713,12.06388,2.304135,1.803648
587722983891337358,0.995802,0.417885,0.633443,0.673771,-561.527466,-22.077372,-5645.31152,7.647717,2.525174,18.378492,2.374641,1.218571
587722984427749513,0.625698,0.349489,0.885589,0.895729,-34.256252,-609.500793,-8122.69922,5.587433,2.48547,40.964264,2.241436,9.023129
587722984427749573,0.579851,0.316088,0.40788,0.4253,-335.14621,-867.736633,-1.715476E4,13.204522,5.153232,128.794693,2.354831,5.954873
587722984427815141,0.885553,0.418299,0.924622,0.895993,-71.932777,-17.623949,-2072.08472,4.372803,1.694328,16.857615,2.226073,1.592392
587722984427880569,0.706049,0.348988,0.913746,0.887176,-509.761963,-187.915405,-1.075768E4,8.882495,3.064213,36.070564,2.339853,6.084096
