objID,,,deVAB_i,expAB_i,lnLexp_i,lnLdeV_i,lnLstar_i,petroR90_i,petroR50_i,mRrCc_i,mCr4_i,texture_i
587722981751587102,0.71236,0.424192,0.457611,0.487998,-267.781433,-492.704987,-8528.97461,4.105496,1.877912,22.745506,2.347271,23.77478
587722981751652517,0.339315,0.284462,0.438185,0.459707,-36.195789,-247.259552,-3167.3335,4.780056,2.086024,31.016048,2.249597,1.337831
587722981751718021,0.953327,0.479015,0.27158,0.311677,-172.90094,-337.737366,-7998.82129,6.846492,2.711246,60.216991,2.26404,8.523869
587722981751718074,0.806534,0.370922,0.806248,0.761415,-1876.50732,-176.956955,-8396.23437,6.103385,2.032623,8.876307,2.314262,14.466755
587722982288458037,0.847652,0.432339,0.539675,0.583858,-387.679993,-166.800156,-4699.87891,4.271435,1.757423,12.782433,2.423056,4.630818
587722982288523384,0.815138,0.394201,0.726043,0.722419,-803.601074,-633.981689,-1.423088E4,5.850712,2.37961,23.641558,2.407435,17.611536
587722982288523390,0.438461,0.337507,0.603518,0.592652,-425.473907,-1067.23486,-1.151985E4,6.319486,3.08332,57.981724,2.392113,43.409187
587722982288523552,1.13298,0.466619,0.879819,0.920564,-2996.17285,-76.470558,-1.89343E4,8.323275,2.545746,12.104752,2.362519,2.66176
587722982288589096,0.489477,0.326035,0.522611,0.57028,-98.046448,-973.21936,-6047.45752,4.29878,2.237441,47.65641,2.046806,4.861408
587722982288589117,0.475554,0.348085,0.337605,0.351171,-53.034164,-626.834229,-5217.04736,3.974528,1.808257,29.846039,2.156987,5.992826
587722982288589146,0.489174,0.257685,0.557179,0.537242,-499.720612,-138.085281,-4604.55566,4.97334,1.747583,10.574102,2.386197,1.753288
587722982288589152,1.381908,0.511745,0.741108,0.789163,-1970.5542,-129.646683,-9125.65234,8.544672,2.519698,8.673435,2.363456,6.474409
587722982288654610,0.718821,0.356374,0.251108,0.246814,-568.33667,-3089.72534,-2.568971E4,10.202251,4.745116,221.485901,2.16196,40.999733
587722982288785695,0.881121,0.420124,0.825428,0.781575,-819.827515,-154.416748,-6429.16309,6.855419,2.604793,15.812557,2.45786,3.4087
587722982288785718,1.35965,0.484327,0.852863,0.842001,-1144.09998,-95.631355,-4436.87402,6.016148,1.876947,5.85736,2.36747,6.803031
587722982288785725,0.593328,0.307745,0.675563,0.623096,-3395.15771,-2495.93091,-4.259494E4,7.782376,3.046303,37.535694,2.476671,199.515518
587722982288785730,0.828527,0.443569,0.563126,0.554965,-423.224884,-60.160061,-4256.77588,4.457979,1.679035,9.877341,2.368025,1.368387
587722982825328817,0.922983,0.463509,0.295491,0.313843,-2774.46899,-1699.75977,-3.733034E4,10.60858,3.818382,77.222771,2.401506,104.242661
587722982825328848,0.891592,0.392984,0.423311,0.473078,-313.980438,-21.763346,-4447.84033,3.730382,1.352822,8.602693,2.306317,2.899342
587722982825328873,0.952614,0.406748,0.873274,0.886736,-4636.73291,-653.110229,-1.511928E4,9.216657,2.99767,7.829921,2.372277,40.002445
587722982825394407,0.963936,0.450926,0.895555,0.877358,-1193.38525,-25.111406,-7939.47461,5.13792,1.597508,7.253959,2.310052,2.430218
587722982825394430,0.776825,0.379683,0.555157,0.567724,-146.325409,-914.59375,-1.306592E4,4.819401,2.123296,29.568436,2.312035,18.301405
587722982825394438,1.353287,0.478003,0.964459,0.957741,-633.979187,-7.093199,-4574.30908,6.09586,2.022412,8.944248,2.368777,0.639096
587722982825459918,1.337931,0.494942,0.912223,0.980507,-725.929565,-117.588943,-3425.24463,6.621952,1.915693,6.364666,2.318446,1.49008
587722982825459983,0.747377,0.362259,0.460272,0.512313,-555.435181,-18.341982,-5856.09082,5.115684,1.788474,10.689277,2.381824,0.40863
587722982825460037,1.108286,0.450834,0.677946,0.712792,-2795.14624,-311.873993,-1.000447E4,5.784097,1.713849,5.566563,2.331667,30.314428
587722982825460063,1.441437,0.504208,0.803113,0.78138,-697.168945,-28.335009,-4337.9209,5.980183,1.825751,7.564126,2.346514,1.904283
587722982825525269,0.708626,0.395817,0.149987,0.17515,-53.154232,-691.134277,-8101.23145,6.977258,2.997327,98.919037,2.164508,2.249351
587722982825525373,1.032711,0.411283,0.245012,0.290109,-1115.67114,-184.317261,-1.05464E4,4.920583,1.60205,11.379345,2.331361,17.003756
587722982825525435,0.796511,0.415123,0.595826,0.609549,-22.09849,-359.150787,-5057.38477,4.709896,2.113302,28.888079,2.31507,5.083978
587722982825525530,0.52762,0.338886,0.749866,0.748217,-35.725491,-166.54538,-2953.16479,9.802385,3.956836,96.773712,2.266192,1.99892
587722982825590898,0.893812,0.364504,0.832552,0.858864,-599.3479,-16.964279,-3972.49805,5.204817,1.636184,6.597968,2.372324,1.448003
