objID,,,deVAB_i,expAB_i,lnLexp_i,lnLdeV_i,lnLstar_i,petroR90_i,petroR50_i,mRrCc_i,mCr4_i,texture_i
587722952230174996,0.454151,0.226593,0.312877,0.370083,-27.45274,-68.289352,-2818.57593,5.347843,2.118237,30.070614,2.322095,0.68956
587722952230175035,0.511438,0.321932,0.347535,0.392686,-67.842079,-472.015076,-5189.02002,4.837309,2.435858,60.529976,2.150601,1.35783
587722952230175138,0.813883,0.407261,0.577256,0.59938,-109.554939,-370.609222,-5304.94092,7.290589,3.443394,85.122543,2.326214,4.017214
587722952230175145,0.687168,0.374395,0.677718,0.673844,-490.379059,-872.270874,-1.037828E4,5.444885,2.704522,49.426926,2.385149,21.137657
587722952230175173,0.682604,0.437185,0.366793,0.391453,-399.147552,-896.073853,-1.372994E4,7.032537,3.042161,72.941689,2.31934,21.508362
587722952230240617,0.493952,0.327725,0.823954,0.850826,-1118.35681,-3377.32129,-4.126688E4,9.366954,4.060468,87.141167,2.362185,90.190422
587722952230240688,0.283581,0.241879,0.643715,0.680283,-29.013523,-404.781952,-3191.08521,5.302732,2.588634,56.308136,2.101391,1.636284
587722952230306064,0.745413,0.390413,0.211315,0.231718,-141.104889,-562.001099,-4173.15771,5.567324,2.688815,112.461807,2.088331,1.6509
587722952230371590,0.793236,0.26812,0.302759,0.363451,-51.532127,-17.008141,-2486.42896,2.765929,1.105398,8.130243,2.210838,2.178165
587722952498544717,0.782297,0.480835,0.249929,0.297654,-119.399094,-144.872681,-4217.32324,7.760044,3.148086,78.728333,2.343813,2.38674
587722952498544776,0.577705,0.262722,0.376876,0.41361,-10.215648,-202.307037,-2737.62158,6.154302,2.685621,54.305557,2.204887,0.074578
587722952498545046,0.620857,0.432743,0.596184,0.612686,-337.458466,-165.773087,-4605.33789,5.614571,1.992035,16.58827,2.251614,4.580535
587722952498545078,1.139845,0.506691,0.795856,0.819621,-504.122467,-7.597352,-4064.83447,4.71426,1.613341,9.302133,2.311857,0.517965
587722952767045694,0.880239,0.329483,0.879722,0.869687,-878.898804,-340.840393,-1819.20789,7.117054,2.409409,5.236842,2.279224,5.238071
587722952767046174,1.576435,0.538639,0.753499,0.685308,-325.593536,-27.876436,-1512.35303,7.594004,2.740724,11.048517,2.463512,0.552804
587722952767111434,0.863323,0.357693,0.644711,0.686869,-480.759308,-49.574722,-2605.45142,3.912376,1.518442,7.073769,2.385153,1.461617
587722952767111581,0.659706,0.385695,0.281799,0.308413,-92.056465,-283.39035,-5961.83447,5.682557,2.112958,32.313904,2.226175,3.320656
587722952767111585,0.845558,0.412428,0.716435,0.777996,-1228.53088,-156.690643,-9658.23437,7.042018,2.143472,11.298412,2.355153,2.81313
587722952767111673,0.512411,0.321232,0.749926,0.821869,-55.12582,-152.710541,-2934.39648,4.877954,2.198854,30.478754,2.31226,1.563981
587722952767177102,0.77809,0.38682,0.780497,0.688511,-5215.6416,-1080.27112,-3.065517E4,9.373985,3.190655,15.905177,2.441279,37.747818
587722952767242608,0.929752,0.421352,0.754879,0.815932,-92.696426,-78.215858,-2887.41528,3.703417,1.556686,12.259135,2.359948,2.327754
587722952767242639,1.040859,0.429626,0.729318,0.713392,-209.418365,-11.490048,-1904.69824,5.288108,1.785812,9.606609,2.361553,0.61531
587722952767242657,0.966124,0.451654,0.731951,0.75698,-1001.36871,-64.401627,-9818.4043,6.793187,2.495711,16.09618,2.431836,0.43879
587722952767242686,0.979992,0.44751,0.238558,0.265442,-414.557281,-237.362961,-5503.54004,6.806652,2.724188,45.059322,2.477803,4.131013
587722953035415909,0.747845,0.39584,0.621785,0.647698,-33.908443,-139.562149,-2809.09424,3.877594,1.730585,19.248419,2.285367,1.809914
587722953303916807,0.78439,0.379567,0.823546,0.815227,-6835.19385,-360.444122,-4.940682E4,11.147315,3.70745,21.781593,2.456782,27.253412
587722953303916935,0.550095,0.261479,0.575727,0.606746,-265.697327,-920.773132,-8013.07568,11.374143,6.024631,327.640472,2.141304,3.93385
587722953303916991,0.925055,0.359091,0.432167,0.463059,-196.165833,-14.103308,-2060.05273,3.192249,1.122565,6.376233,2.249502,1.6496
587722953303917016,0.885894,0.386229,0.81835,0.815813,-3668.64136,-286.562958,-1.616452E4,9.889715,3.072446,10.166962,2.429692,27.61198
587722953303917041,0.867498,0.39835,0.839675,0.861326,-509.25351,-22.78458,-5774.24707,3.905155,1.472566,8.408747,2.339628,1.849809
