objID,,,deVAB_i,expAB_i,lnLexp_i,lnLdeV_i,lnLstar_i,petroR90_i,petroR50_i,mRrCc_i,mCr4_i,texture_i
587722981744377975,0.824795,0.42697,0.269962,0.300002,-153.145386,-157.320724,-4144.74414,5.808181,2.149218,31.076534,2.315773,6.33691
587722981744378094,0.523952,0.288391,0.328581,0.396812,-53.405968,-424.134155,-3062.4541,6.960421,3.632082,156.350403,2.049363,0.58798
587722981744443503,1.198889,0.483406,0.780857,0.792749,-281.152802,-26.941372,-3677.50415,5.72125,2.103041,16.907696,2.324162,1.050888
587722981744509013,0.849073,0.432319,0.342344,0.368084,-1400.7124,-1176.11914,-2.682483E4,8.541861,3.285159,55.705132,2.410897,49.450424
587722981744574668,0.934856,0.448542,0.349998,0.384071,-32.071888,-236.056396,-3339.22168,6.399938,2.878334,64.049355,2.243445,0.629372
587722981744640069,0.606773,0.329802,0.461008,0.516619,-109.145477,-929.55127,-7027.18604,5.962257,3.190724,94.969315,2.14637,1.563758
587722981744640156,0.780252,0.402565,0.324747,0.331492,-386.327271,-1851.95789,-1.455345E4,7.210433,3.182265,100.046661,2.224607,33.816277
587722981744640177,0.426938,0.217081,0.916492,0.948001,-1084.82959,-6151.6958,-3.760143E4,12.365,5.632643,215.029114,2.223995,72.644669
587722981744705675,0.931978,0.373669,0.579904,0.620747,-193.457581,-96.733383,-4727.58057,4.028598,1.633014,14.426973,2.318563,6.309973
587722981744705719,0.889874,0.420348,0.681883,0.667104,-1668.71216,-34.53447,-1.351478E4,7.933287,2.439666,18.505247,2.342938,10.800862
587722981744771128,0.639459,0.318282,0.607011,0.299977,-5642.84521,-2.990271E4,-1.12119E5,41.238384,17.847576,4153.89648,2.208053,509.827942
587722981744771181,1.190086,0.427372,0.727916,0.735791,-786.832642,-75.948715,-3545.76074,6.733801,2.194371,10.995148,2.318377,4.089318
587722981744771190,1.202127,0.467596,0.638232,0.61519,-682.526428,-66.619781,-3514.8418,5.643083,1.775383,10.292859,2.259422,2.113064
587722981744771200,0.802011,0.388058,0.930263,0.913293,-330.282104,-411.453979,-7977.44336,4.924236,2.146809,24.479736,2.401427,21.561388
587722981744771215,1.127062,0.429176,0.686969,0.721104,-621.518005,-16.151232,-3930.1189,5.953665,1.893557,10.884254,2.314635,1.553216
587722981744771220,1.112204,0.395988,0.873616,0.883012,-278.570801,-88.287346,-3045.94067,4.639587,1.862529,14.84381,2.399295,2.119041
587722981744771237,1.087265,0.425407,0.703307,0.638111,-475.839264,-140.398773,-3265.32812,6.1513,2.541777,19.706167,2.476749,1.935208
587722981744771250,1.151258,0.481442,0.782653,0.815395,-1892.98462,-468.390106,-1.087666E4,12.33974,4.046629,26.763287,2.557237,6.864667
587722981744771278,0.33032,0.115969,0.57751,0.620645,-36.161274,-52.96479,-2823.96826,4.975253,2.052912,23.303171,2.305054,0.750862
587722981744771287,1.204729,0.464012,0.858765,0.83191,-210.707672,-8.721359,-2744.46826,4.473028,1.658317,11.802818,2.36221,0.38615
587722981744836633,1.128128,0.453478,0.99983,0.968681,-295.162842,-4.690436,-2490.25879,4.755029,1.623888,10.029525,2.296741,0.478349
587722981744836666,1.218067,0.455177,0.724384,0.656095,-420.138184,-75.405502,-3024.72095,7.255531,2.302932,13.903546,2.313209,0.670242
587722981744836740,1.18297,0.447969,0.835315,0.83801,-321.50238,-5.628329,-2011.62451,3.884014,1.348609,7.728581,2.276623,1.169526
