objID,,,deVAB_i,expAB_i,lnLexp_i,lnLdeV_i,lnLstar_i,petroR90_i,petroR50_i,mRrCc_i,mCr4_i,texture_i
587722981734940792,0.849106,0.414434,0.778085,0.768916,-621.194641,-185.791748,-3787.90112,5.581697,2.356687,19.705824,2.413438,3.058951
587722981735006290,0.709303,0.366135,0.749895,0.783436,-43.177746,-272.30899,-3256.38843,5.481387,2.566537,47.969196,2.19037,1.035922
587722981735071885,0.705931,0.399025,0.487647,0.53219,-303.027557,-3376.55664,-2.639857E4,8.979527,4.094172,148.545273,2.197378,12.126609
587722982271942828,0.702633,0.394934,0.45,0.5157,-20.355108,-567.598999,-6874.85303,4.517412,2.179092,38.055752,2.188109,0.886146
587722982272008339,0.752047,0.420067,0.280501,0.326077,-6.129661,-429.010925,-4933.96289,5.574926,2.508219,59.975704,2.11619,0.385831
587722982272139314,0.615246,0.323181,0.436668,0.44658,-977.600525,-2128.04517,-3.749273E4,7.852192,3.060281,52.915012,2.364354,153.092606
587722982272204945,0.718853,0.37113,0.732195,0.770044,-115.254784,-119.150688,-4556.43848,6.21684,2.328012,26.937225,2.291915,2.631451
587722982808748046,0.862957,0.415298,0.750893,0.732372,-415.229126,-26.136864,-2427.09131,6.250244,2.213504,13.906485,2.342823,0.629473
587722982808748192,0.958839,0.481256,0.565772,0.620327,-784.094666,-473.746277,-1.238731E4,7.755049,2.679583,30.463202,2.317223,15.768924
587722982808748194,0.944033,0.457096,0.331852,0.354716,-134.378006,-356.447144,-7866.84082,6.415217,2.580811,43.507023,2.301611,23.492443
587722982808748221,0.937305,0.46365,0.943109,0.914149,-271.311035,-5.248089,-2361.46045,5.067242,1.835176,13.123434,2.315191,0.137276
587722982808748223,0.945414,0.431005,0.518677,0.572997,-125.794296,-36.318386,-3035.36182,3.712288,1.538463,13.975325,2.28779,1.949677
587722982808748226,1.045357,0.452152,0.714517,0.711029,-3813.38794,-193.325882,-1.785836E4,8.515109,2.65755,15.911804,2.348825,13.857101
587722982808748237,0.956894,0.434719,0.614981,0.667217,-720.584351,-93.871559,-3192.52197,5.56567,1.7968,11.214802,2.258618,2.263408
587722982808813792,0.985865,0.412264,0.328402,0.425411,-403.395813,-75.333435,-3751.96289,3.844254,1.443752,12.649275,2.235203,3.104409
587722982808813810,0.910444,0.391045,0.38963,0.456745,-609.266785,-36.467499,-4964.03125,4.359258,1.607656,13.654723,2.290206,2.557885
587722982808879242,0.574108,0.344696,0.955942,0.94504,-55.360382,-251.739319,-6323.5957,5.506986,2.285292,30.204981,2.288197,3.625407
587722982808879271,0.882214,0.430943,0.542224,0.572751,-286.061737,-134.652267,-8211.83301,4.513804,1.681564,15.674001,2.241017,13.412663
587722982808944700,0.889235,0.452602,0.284232,0.325146,-1581.87439,-626.480469,-2.425793E4,10.276095,3.495169,54.4659,2.378622,19.478769
587722982808944760,0.433882,0.304741,0.256858,0.310452,-43.616016,-231.389389,-3448.47583,6.008693,2.479918,58.033028,2.160599,1.689454
587722982808944792,0.543736,0.241034,0.705567,0.705945,-1010.50458,-4232.13232,-3.039858E4,12.594467,6.617115,363.408234,2.201566,30.660381
587722982808944823,0.608084,0.319679,0.301475,0.333448,-25.665689,-241.495331,-3899.58887,6.141514,2.562682,55.136894,2.204059,2.010858
587722982809010200,0.693237,0.334476,0.60358,0.626022,-5247.49756,-7615.59473,-7.482852E4,11.977588,4.950349,110.076782,2.448259,757.372131
587722982809075747,0.649776,0.309111,0.362446,0.388889,-1605.86768,-509.183746,-1.969279E4,4.513485,1.766353,16.395168,2.342392,73.620316
587722982809075817,0.810102,0.458567,0.23111,0.273329,-954.283325,-363.957031,-1.439661E4,7.447351,2.636376,41.876595,2.356157,12.546666
587722982809075821,0.927858,0.435003,0.311262,0.371185,-1345.17261,-132.979462,-8118.62744,6.215894,2.108588,16.581524,2.34492,13.503829
587722982809141353,0.706215,0.381958,0.851263,0.840658,-381.828827,-18.571285,-5078.19629,7.58303,2.665099,22.785727,2.317711,0.584277
587722982809141416,1.408449,0.592037,0.91995,0.958797,-447.960846,-8.833284,-3361.64307,6.746494,2.159455,14.826784,2.341478,0.682965
587722983345553620,0.500017,0.289907,0.949757,0.937358,-334.501831,-1643.60559,-1.579136E4,8.952456,4.726107,162.9832,2.291226,10.285898
587722983345619089,0.719261,0.342108,0.688768,0.716846,-115.295967,-63.234684,-3384.01367,5.670723,2.217976,23.922052,2.302114,1.453054
587722983345619123,0.648581,0.367007,0.858864,0.883738,-1210.73889,-1000.34918,-2.052718E4,8.190597,3.595547,54.946655,2.471331,17.799583
587722983345619127,0.846588,0.453383,0.360144,0.401206,-1458.71301,-74.012161,-1.456866E4,5.536805,1.969989,17.906336,2.347153,9.405042
587722983345619132,0.744419,0.353437,0.9059,0.926407,-12.586554,-222.013107,-4036.40063,4.860724,2.199396,32.30518,2.244197,0.578236
587722983345684590,0.300323,0.258781,0.799356,0.831787,-2.396525,-227.091614,-2584.70361,3.691985,1.797579,25.884277,2.121114,0.233784
587722983345815678,0.2852,0.144104,0.977718,0.971401,-723.291626,-3064.70483,-2.86634E4,8.555319,4.13287,107.029991,2.371746,37.149647
587722983345881192,0.806721,0.447592,0.280442,0.339545,-139.190262,-67.318687,-3614.61938,4.17283,1.43121,13.271507,2.157973,10.306161
587722983345881196,0.949221,0.412041,0.544054,0.575305,-292.183441,-6.634436,-2765.75586,3.536178,1.330319,9.085921,2.274859,0.90041
587722983345881210,0.892142,0.415426,0.600783,0.609227,-1.249219E4,-432.446686,-5.110289E4,11.234403,3.380478,19.172802,2.381289,108.433441
587722983345881212,0.821539,0.419962,0.597713,0.608354,-822.389282,-205.138931,-4191.75,6.041521,2.714032,16.595112,2.470138,3.475676
587722983345881233,0.863384,0.389636,0.987387,0.963391,-2369.52466,-307.548492,-2.466123E4,9.748645,3.480339,30.443672,2.455259,8.698463
587722983345881236,1.03721,0.449724,0.82893,0.817814,-369.203857,-3.332064,-2671.62378,5.776035,1.980288,13.17415,2.338421,0.48223
587722983345881276,0.582188,0.343817,0.333775,0.384972,-13.692786,-403.424622,-4237.22119,6.382894,2.976379,93.629906,2.205072,0.446016
587722983345946737,0.901783,0.427225,0.558203,0.57917,-1301.82874,-324.279175,-9466.51562,5.451169,2.222617,17.047529,2.410474,5.980912
587722983345946745,0.690418,0.44649,0.454888,0.468296,-333.618622,-2235.62402,-2.34524E4,6.643164,2.960687,63.779968,2.217582,24.434153
587722983345946799,0.611792,0.309769,0.941287,0.943113,-89.840248,-444.112488,-5549.0835,8.427649,3.834008,93.954735,2.294334,2.401038
587722983346012343,0.434116,0.227821,0.6076,0.621607,-46.895512,-92.933647,-1525.46362,9.119326,4.245504,127.560516,2.380884,0.437886
587722983882489956,0.317961,0.189939,0.50001,0.533127,-40.376972,-672.121765,-6743.08447,8.109879,3.284189,76.058723,2.121805,1.924887
587722983882489993,0.638803,0.392655,0.284332,0.313151,-540.980774,-4087.54468,-3.001234E4,10.328533,4.548213,212.627167,2.160015,63.151981
587722983882686474,0.526209,0.287706,0.800067,0.790495,-262.143066,-217.079941,-2603.74487,10.345865,4.292848,85.01815,2.40389,0.666134
587722983882686583,0.960289,0.441349,0.766898,0.772219,-2151.88306,-164.314255,-1.456314E4,7.931259,2.438096,17.17701,2.325821,2.949124
587722983882686609,0.336912,0.213915,0.63503,0.669762,-35.455315,-119.600677,-2391.95215,5.9328,2.706207,44.871346,2.33726,1.246809
587722983882686630,1.19906,0.470575,0.838861,0.864841,-1062.24536,-68.302048,-5643.92187,6.571803,2.107147,12.950028,2.339508,2.918386
587722983882686642,1.0301,0.415693,0.507064,0.566078,-578.51825,-13.687725,-4332.73096,5.916039,1.911855,11.86424,2.295576,1.336397
587722983882686643,1.015474,0.504099,0.187541,0.247497,-174.661682,-120.512077,-4442.52979,5.663178,1.970884,28.187958,2.236609,5.539533
587722983882752083,0.467611,0.328291,0.456697,0.490992,-88.043579,-136.473099,-3505.94312,6.397858,2.762439,47.420071,2.3735,2.464047
