Global,Elliptical,Spirall,Artifac
0.7903565122656749,0.7648067851527136,0.8865878588569905,0.0
0.7852285961155565,0.756968599609282,0.8915651942049596,0.0
0.8013449040159285,0.7892743126697479,0.8473024620033774,0.0
0.7894924677861678,0.7633773288226045,0.8878321926939827,0.0
0.7800631128141553,0.7471291752036975,0.9038307705981691,0.0
0.7810022915962282,0.7504407490351169,0.8959203626344325,0.0
0.7701266012998235,0.7313813313003288,0.915563061061239,0.0
0.7910515045644089,0.7671892123695621,0.8809883565905253,0.0
0.7812652616552087,0.7502025063134321,0.8980535063549907,0.0
0.7831811863706375,0.752847000524134,0.8972535774597814,0.0
0.79608550283632,0.7768856911421356,0.8686338992089592,0.0
0.7857169690822345,0.7568018297041026,0.8944982668207271,0.0
0.793061347158045,0.7712393386382046,0.8753888543240601,0.0
0.7948833539952666,0.7735502930385477,0.8753888543240601,0.0
0.7950524061760397,0.7751465192738362,0.8702337569993779,0.0
0.7921033848003306,0.7690713298708725,0.8789440938583237,0.0
0.7849656260565762,0.7558250345451947,0.8945871478090837,0.0
0.7995604643299898,0.783675608710154,0.8597458003733002,0.0
0.7860926405950637,0.7584218802115595,0.8902319793796107,0.0
0.7985461512453511,0.7821508552913709,0.860634610256866,0.0
0.7956910477478493,0.7756944775337113,0.8712114478713003,0.0
0.8003305909312897,0.7844618096917139,0.8604568482801529,0.0
0.7814343138359818,0.7493686567875352,0.9019642698426806,0.0
0.7901686765092603,0.7651403249630724,0.8844547151364324,0.0
0.7948457868439837,0.773073807595178,0.8769887121144787,0.0
0.7890040948194899,0.7619716967646638,0.8907652653097502,0.0
0.7835944250347496,0.7531567160623243,0.8980535063549907,0.0
0.7855291333258199,0.7562538714442274,0.8956537196693627,0.0
0.7903752958413164,0.7660456473054749,0.8820549284508044,0.0
0.7985085840940681,0.7823414494687188,0.8597458003733002,0.0
0.7943386303016642,0.7718349454424167,0.8792107368233935,0.0
0.787989781734851,0.7610187258779244,0.889520931472758,0.0
0.8054772906570494,0.7956353933387335,0.8431250555506177,0.0
0.7912017731695405,0.7664268356601706,0.8845435961247889,0.0
0.7978135917953342,0.7785533901939296,0.8705892809528042,0.0
0.7959728013824712,0.7752656406346786,0.8741445204870678,0.0
0.7895863856643751,0.7624720064802021,0.8916540751933162,0.0
0.7927232427964988,0.7683327774336494,0.8846324771131455,0.0
0.7906758330515797,0.7639491113546482,0.8912985512398898,0.0
0.7938314737593448,0.7709772716443513,0.8800106657186028,0.0
0.7974942710094294,0.777981607661886,0.8712114478713003,0.0
0.7835756414591082,0.7522752179920903,0.9012532219358279,0.0
0.7941695781208911,0.77131081145471,0.8803661896720292,0.0
0.7906194823246553,0.7644732453423548,0.889076526530975,0.0
0.8055899921108982,0.794039167103445,0.8496133677006489,0.0
0.776531800593561,0.7406013246295325,0.9114745355968359,0.0
0.8071302453134979,0.7975651593843808,0.8437472224691138,0.0
0.8017581426800405,0.7873445466241006,0.8564572038041063,0.0
0.7893046320297532,0.7633773288226045,0.8869433828104168,0.0
0.7956722641722078,0.7744317911087816,0.875833259265843,0.0
